Id,Price,Year,Mileage,City,State,Vin,Make,Model,Vehicle Style,Vehicle Size,MSRP,City MPG,Engine HP,Highway MPG,Popularity,Total Depreciation,Age,Avg MPG,Avg Depreciation Per Year
14,17432,2015,11330,St. Peters, MO,KL4CJBSB0FB117931,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10219.25,3.0,27.75,3406.4166666666665
15,20959,2017,36981,Taylor, MI,1G4PR5SK9H4108021,Buick,VeranoSport,Sedan,Midsize,23911.666666666668,21.0,180.0,31.0,155.0,2952.666666666668,1.0,26.0,2952.666666666668
16,16699,2015,21323,Clearwater, FL,KL4CJASB2FB127080,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10952.25,3.0,27.75,3650.75
17,15995,2015,18887,Metairie, LA,KL4CJASB8FB267196,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11656.25,3.0,27.75,3885.4166666666665
18,17950,2016,10925,Lafayette, IN,KL4CJASB4GB519690,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9971.0,2.0,28.200000000000003,4985.5
19,15239,2015,20681,Dallas, TX,KL4CJBSB2FB179802,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12412.25,3.0,27.75,4137.416666666667
20,16814,2015,11541,Gainesville, FL,KL4CJASB0FB248111,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10837.25,3.0,27.75,3612.4166666666665
21,15972,2015,28408,Trevose, PA,KL4CJASB4FB176443,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11679.25,3.0,27.75,3893.0833333333335
22,17222,2015,10652,Oklahoma City, OK,KL4CJBSB9FB270758,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10429.25,3.0,27.75,3476.4166666666665
23,18366,2016,3104,Lakewood, NJ,KL4CJASB3GB650982,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9555.0,2.0,28.200000000000003,4777.5
25,16400,2015,21694,Columbus, OH,KL4CJASB1FB241331,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11251.25,3.0,27.75,3750.4166666666665
26,18902,2017,5,Dublin, CA,KL4CJASB1HB027202,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,9113.0,1.0,28.35,9113.0
27,18902,2017,5,Dublin, CA,KL4CJASB5HB028496,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,9113.0,1.0,28.35,9113.0
28,16476,2015,21962,Flemming, GA,KL4CJBSB4FB231253,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11175.25,3.0,27.75,3725.0833333333335
30,16000,2015,19446,Monroe, MI,KL4CJBSB2FB036929,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11651.25,3.0,27.75,3883.75
31,16217,2015,23837,Raleigh, NC,KL4CJASB9FB235535,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11434.25,3.0,27.75,3811.4166666666665
32,16895,2015,21026,Souderton, PA,KL4CJASB9FB190502,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10756.25,3.0,27.75,3585.4166666666665
33,16900,2015,10369,Mechanicsburg, PA,KL4CJASB9FB270902,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10751.25,3.0,27.75,3583.75
34,17500,2015,7166,Williamstown, NJ,KL4CJBSB9FB222354,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10151.25,3.0,27.75,3383.75
35,18988,2017,6111,Bowling Green, KY,KL4CJASB9HB048427,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,9027.0,1.0,28.35,9027.0
36,15600,2015,33423,Virginia Beach, Va,KL4CJASB4FB178676,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12051.25,3.0,27.75,4017.0833333333335
37,17591,2015,10014,Tucson, AZ,KL4CJASB3FB117299,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10060.25,3.0,27.75,3353.4166666666665
38,15995,2015,20496,McDonough, GA,KL4CJBSB2FB101567,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11656.25,3.0,27.75,3885.4166666666665
39,15593,2015,17440,Akron, OH,KL4CJESB7FB267195,Buick,EncoreAWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12058.25,3.0,27.75,4019.4166666666665
40,17900,2017,9850,Doral, FL,KL4CJASB6HB002683,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,10115.0,1.0,28.35,10115.0
41,17000,2015,13590,Williamstown, NJ,KL4CJBSB0FB195254,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10651.25,3.0,27.75,3550.4166666666665
43,16988,2016,12510,Naples, FL,KL4CJASB6GB565795,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10933.0,2.0,28.200000000000003,5466.5
44,15591,2015,29804,Jacksonville, FL,KL4CJASB0FB082415,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12060.25,3.0,27.75,4020.0833333333335
45,16737,2015,16701,Lutz, Fl,KL4CJASB1FB220883,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10914.25,3.0,27.75,3638.0833333333335
48,16799,2015,16735,Williamstown, NJ,KL4CJASB7FB234884,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10852.25,3.0,27.75,3617.4166666666665
50,17991,2016,14806,Tucson, AZ,KL4CJASB7GB620898,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9930.0,2.0,28.200000000000003,4965.0
